id	stride	risk	assets	boundary	attackers	scenario	capability_gain	prerequisites	impact	existing_controls	mitigation	owner	follow_up	verification	residual_risk	evidence
TM-011	Repudiation	high	A-05|A-01	TB-08	ACT-PLATFORM	Audit data is omitted, altered, deleted, reordered, or exported incompletely	ACT-PLATFORM can repudiate privileged activity.	Non-atomic event write, mutable storage, weak sequence, exporter gaps, or shared delete authority	Loss of attribution, undetected cross-workspace abuse, and invalid recovery evidence	Required audit data is an accepted atomic invariant	Canonical event, state-atomic insert, integrity chain/manifest, immutable archive, role separation, gap detection, scoped query, and export verification	OWN-DATA	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/31	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/64	Simultaneous compromise of relational audit archive and both integrity key boundaries can defeat detection	docs/security/model.md:67;docs/architecture/0001-alpha-operational-bounds.md:677
TM-012	Elevation of privilege	high	A-05|A-01|A-04	TB-09	ACT-PLATFORM	Break-glass, redrive, migration, or recovery authority is abused	ACT-PLATFORM bypasses ordinary policy without durable accountability.	Broad console/database access, reusable admin credential, missing reason/expiry, or direct edits	Multi-workspace data/provider mutation and audit bypass	Platform/workspace administration separation is required	Strong authentication, separate role, action/scope/reason, time-bound elevation, dry-run, approval where required, immutable audit, and no routine direct edits	OWN-OPERATIONS	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/34,https://github.com/ArdurAI/veer/issues/64	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/64	An authorized platform operator remains capable of high-impact actions during the approved elevation window	docs/security/model.md:51;docs/architecture/0002-alpha-implementation-stack.md:405
TM-013	Tampering	high	A-01|A-05|A-06	TB-12	ACT-PLATFORM|ACT-SUPPLY	A migration or configuration change removes security invariants	ACT-PLATFORM or ACT-SUPPLY bypasses tenant constraints, role separation, redaction, or audit atomicity.	Privileged DDL/config and missing checksum, validation, transaction, or rollback boundary	Persistent cross-workspace or credential exposure across deployments	SQL-only immutable migrations and typed config are selected	Checksummed ordered migration, dedicated migrator, transactional default, closed config schema, schema manifest, rollback test, and post-change invariant scan	OWN-DATA	https://github.com/ArdurAI/veer/issues/30,https://github.com/ArdurAI/veer/issues/65,https://github.com/ArdurAI/veer/issues/66	https://github.com/ArdurAI/veer/issues/30,https://github.com/ArdurAI/veer/issues/64,https://github.com/ArdurAI/veer/issues/66	A correctly authorized but harmful migration can still require restore and forward repair rather than automatic rollback	docs/architecture/0002-alpha-implementation-stack.md:395;docs/architecture/0001-alpha-operational-bounds.md:735
TM-014	Tampering	high	A-04|A-06	TB-07	ACT-MEMBER|ACT-PROVIDER	Deletion race, false ownership, or failed compensation damages unrelated resources	ACT-MEMBER or ACT-PROVIDER causes an unowned delete or concealed orphan.	Concurrent update/delete, stale external ID, partial provider result, or rollback assumption	Irrecoverable provider loss, orphaned cost, or cross-workspace deletion	Cancellation/finalization and ownership evidence are required	Generation/fence-bound ownership proof, dependency-aware finalizers, retry-safe delete, compensation distinct from rollback, orphan inventory, quarantine, and audit	OWN-RECONCILIATION	https://github.com/ArdurAI/veer/issues/36,https://github.com/ArdurAI/veer/issues/41	https://github.com/ArdurAI/veer/issues/37,https://github.com/ArdurAI/veer/issues/49,https://github.com/ArdurAI/veer/issues/57	Provider-side partial effects and unknown outcomes may require manual recovery and retained cost until reconciled	docs/security/model.md:14;docs/architecture/overview.md:90-101
TM-015	Tampering	high	A-05|A-01|A-02	TB-11	ACT-PLATFORM	Backup or restore crosses scope, uses tampered data, or revives stale authority	ACT-PLATFORM restores the wrong checkpoint or copies credentials.	Privileged recovery flow and missing integrity/freshness/identity validation	Multi-workspace disclosure, corruption, unauthorized execution, or RPO failure	Encrypted isolated restore and authority revalidation are accepted targets	Signed common checkpoint, separate roles/keys, immutable audit, isolated restore, complete ledger comparison, new workload credentials, policy revalidation, and cutover gate	OWN-DATA	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/64	https://github.com/ArdurAI/veer/issues/64	Compromise of both regional key boundaries or corruption older than retention remains outside the alpha recovery claim	docs/architecture/0001-alpha-operational-bounds.md:695;docs/architecture/0001-alpha-operational-bounds.md:791
TM-016	Tampering	high	A-09	TB-10	ACT-SUPPLY	Build or release supply chain publishes attacker-controlled code	ACT-SUPPLY gains consumer or production execution.	Mutable action/tag/dependency, overprivileged CI, leaked signer, local release, or unverifiable artifact	All-workspace control-plane compromise and credential access	Bootstrap tools are pinned and checksum-verified; release controls are absent	Protected required checks, immutable actions/dependencies, secret/dependency/static/IaC scans, ephemeral least privilege, reproducible release, SBOM, signature, provenance, and consumer verify	OWN-SUPPLY-CHAIN	https://github.com/ArdurAI/veer/issues/15,https://github.com/ArdurAI/veer/issues/66	https://github.com/ArdurAI/veer/issues/15,https://github.com/ArdurAI/veer/issues/66	A protected signing or release identity remains a critical trust anchor whose compromise requires revocation and incident response	docs/architecture/0002-alpha-implementation-stack.md:407;docs/development.md:98
TM-017	Denial of service	medium	A-08|A-06	TB-01|TB-05|TB-07	ACT-MEMBER	One workspace exhausts shared capacity or spend	ACT-MEMBER starves others through requests, queue work, provider calls, telemetry, or high-cardinality identities.	Shared control plane and missing quota/fairness/admission	Availability loss, provider throttling, paging, or unbounded bill	ADR 0001 defines capacity and cost ceilings	Request/size/rate quotas, fair scheduling, bounded concurrency/backoff, provider-call budgets, telemetry meters/cardinality registry, and workspace-attributed cost	OWN-OPERATIONS	https://github.com/ArdurAI/veer/issues/34,https://github.com/ArdurAI/veer/issues/40,https://github.com/ArdurAI/veer/issues/42	https://github.com/ArdurAI/veer/issues/40,https://github.com/ArdurAI/veer/issues/42,https://github.com/ArdurAI/veer/issues/63	A provider outage or valid workload burst can still reduce freshness within the documented exclusion and budget boundaries	docs/architecture/0001-alpha-operational-bounds.md:690;docs/architecture/0001-alpha-operational-bounds.md:794
TM-018	Information disclosure	medium	A-07|A-01|A-08	TB-08	ACT-MEMBER	Personal, configuration, or operational data leaks through observability or support output	ACT-MEMBER or operator sees data beyond need.	Raw payload/error capture, identifier labels, broad export, or retention drift	Privacy breach, topology disclosure, or cross-workspace metadata leak	Redaction and low-cardinality telemetry are accepted requirements	Enforce data classes before emission, allowlisted fields, opaque correlation, scoped export, deletion/retention rules, canaries, and cardinality tests	OWN-SECURITY	https://github.com/ArdurAI/veer/issues/22,https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/63	https://github.com/ArdurAI/veer/issues/28,https://github.com/ArdurAI/veer/issues/63	Authorized operators retain access to bounded operational and audit data required for support and incident response	docs/architecture/0001-alpha-operational-bounds.md:792;docs/architecture/0002-alpha-implementation-stack.md:413
TM-019	Elevation of privilege	high	A-02|A-04	TB-05	ACT-MEMBER	Approval digest substitution or post-approval drift authorizes a different plan	ACT-MEMBER turns one review into broader effects.	Mutable plan, weak digest binding, stale policy/capability/cost, self-approval, or no execution check	Unauthorized or unreviewed provider change	Immutable deterministic plans are required	Bind approval to canonical digest, actor, scope, policy/capability/cost versions and expiry; re-plan on drift; enforce separation and reauthorization	OWN-IDENTITY	https://github.com/ArdurAI/veer/issues/24,https://github.com/ArdurAI/veer/issues/33,https://github.com/ArdurAI/veer/issues/61	https://github.com/ArdurAI/veer/issues/61	A legitimately authorized approver can approve harmful intent within their current scope	docs/architecture/overview.md:53;docs/security/model.md:37
TM-020	Spoofing	high	A-04|A-03	TB-07	ACT-PROVIDER	Provider destination identity is spoofed or misconfigured	ACT-PROVIDER makes the adapter operate in an unintended AWS account/partition/region or Kubernetes cluster.	Unverified endpoint/credential identity, DNS/CA failure, stale kubeconfig, or copied connection	Effects and disclosure outside approved destination	Capability discovery is required before execution	Verified TLS, AWS caller/account/partition/region checks, Kubernetes server/CA/cluster identity and namespace preflight, exact connection binding, and mismatch fail-closed tests	OWN-PROVIDERS	https://github.com/ArdurAI/veer/issues/39,https://github.com/ArdurAI/veer/issues/45,https://github.com/ArdurAI/veer/issues/52	https://github.com/ArdurAI/veer/issues/45,https://github.com/ArdurAI/veer/issues/52	Compromise of provider DNS PKI account administrator or cluster administrator remains outside ordinary tenant authority	docs/architecture/overview.md:153-181;docs/security/model.md:14
TM-021	Tampering	high	A-05	TB-13	ACT-PLATFORM	Archive cleanup authority targets the active baseline or bypasses retention without valid recovery state	ACT-PLATFORM permanently deletes authoritative audit/recovery evidence.	Reusable cleanup credential, forged/stale state token, target substitution, broad prefix, missing active-bucket deny, or retention mutation	Irrecoverable audit/recovery loss, hidden privileged activity, and failed disaster recovery	ADR 0001 defines separate sweeper, validator, and cleanup roles, but none is implemented	Require exact candidate/retired tag and prefix, signed abort/promotion state, short cleanup session, active-baseline bucket-policy deny, no retention/legal-hold mutation, explicit bypass header, immutable audit, and final empty-version proof	OWN-DATA	https://github.com/ArdurAI/veer/issues/27,https://github.com/ArdurAI/veer/issues/64,https://github.com/ArdurAI/veer/issues/65	https://github.com/ArdurAI/veer/issues/64,https://github.com/ArdurAI/veer/issues/65	A correctly authorized cleanup permanently destroys its selected non-authoritative generation so target and state verification remain critical trust anchors	docs/architecture/0001-alpha-operational-bounds.md:911;docs/architecture/0001-alpha-operational-bounds.md:1038
