scope	metric	value	unit	note
shared	probe_group_delete_coverage	44640	schedule	Every identity belongs to the one deletable accounting-window group
shared	probe_synchronous_lambda_invoke	1	boolean	Scheduler universal target pins Lambda Invoke to RequestResponse
shared	probe_scheduler_universal_invoke_target	1	boolean	Scheduler uses the universal Lambda Invoke target rather than the asynchronous templated target
shared	probe_scheduler_invocation_type_request_response	1	boolean	Universal Lambda Invoke sets InvocationType to RequestResponse
shared	probe_scheduler_maximum_retry_attempts	0	attempt	Scheduler target delivery retries are disabled
shared	probe_scheduler_maximum_event_age_seconds	60	second	Scheduler rejects delivery after the bounded event-age window
shared	probe_api_before_launch_control	1	boolean	Every invocation completes and records the normal API synthetic before validator lifecycle control
shared	probe_api_deadline_seconds	1	second	The API synthetic commits success or failure before its one-second sub-deadline
shared	probe_lifecycle_reserve_seconds	4	second	Four seconds of the five-second invocation remain reserved for serialized validator lifecycle control
shared	probe_second_schedule_start_seconds	120	second	Latest start of the second scheduled minute after failure onset
shared	scheduler_delivery_delay_seconds	60	second	Full documented Scheduler precision window without subsecond rounding assumptions
shared	probe_timeout_seconds	5	second	Hard timeout for one probe invocation
shared	emf_publish_extract_seconds	5	second	Qualification bound for log ingestion and metric extraction or missing-signal recognition
shared	alarm_evaluation_seconds	10	second	High-resolution alarm evaluation bound
shared	pager_receipt_seconds	40	second	Notification and pager delivery bound
shared	regional_detection_objective_seconds	240	second	Hard primary-region loss detection objective
shared	live_archive_validator_outbox_dispatch_seconds	60	second	Maximum from becoming the ordered outbox head to acknowledged recovery-queue send
shared	live_archive_validator_queue_delay_seconds	300	second	FIFO queue delay measured from acknowledged recovery-queue send
shared	managed_crr_stage_seconds	300	second	Accepted normal live replication stage
shared	live_archive_validator_task_count	2	task	One active lease holder and one hot standby Fargate task
shared	live_archive_validator_active_leaders	1	task	DynamoDB fencing admits exactly one queue consumer
shared	live_archive_validator_task_vcpu	0.25	vCPU	Quarter-vCPU ARM allocation per task
shared	live_archive_validator_task_memory_gb	0.5	GB	Half-GB ARM allocation per task
shared	live_archive_validator_ecs_service_scheduler	0	boolean	Standalone tasks prevent an ECS service scheduler from launching unreserved replacements
shared	live_archive_validator_probe_launch_controller	1	boolean	The independently scheduled recovery probe is the only validator task-launch principal
shared	live_archive_validator_stop_obsolete_before_launch	1	boolean	Every obsolete validator task reaches STOPPED before a desired-revision launch
shared	live_archive_validator_max_stop_tasks_per_probe	1	task	One non-retried StopTask request per probe bounds controller work
shared	live_archive_validator_stop_task_sdk_retries	0	attempt	Obsolete-task termination retries only on the next priced probe invocation
shared	live_archive_validator_run_task_count	1	task	Each guarded ECS RunTask request launches exactly one independently replayable slot
shared	live_archive_validator_two_slot_run_task_calls	2	request	Bootstrap and digest transition start both pre-reserved per-slot RunTask requests in one invocation
shared	live_archive_validator_single_slot_run_task_calls	1	request	An unplanned single-slot loss submits exactly one replacement request
shared	live_archive_validator_run_task_client_token	1	boolean	Every RunTask request carries the durable deterministic launch-token identity
shared	live_archive_validator_run_task_started_by	1	boolean	Every RunTask stamps the deterministic ledger slot identity for discovery reconciliation
shared	live_archive_validator_run_task_client_token_min_ttl_seconds	3600	second	A successfully created task retains its client-token identity for at least its lifetime plus one hour
shared	live_archive_validator_run_task_replay_deadline_seconds	3000	second	An uncertain RunTask request may replay only within fifty minutes of its durable first-attempt timestamp
shared	live_archive_validator_run_task_discovery_before_replay	1	boolean	List and describe reconcile a matching startedBy task ARN before any idempotent replay
shared	live_archive_validator_run_task_sdk_retries	0	attempt	Uncertain RunTask outcomes replay only the same client token and request parameters
shared	live_archive_validator_run_task_response_arn_persisted	1	boolean	The returned task ARN is conditionally persisted against its launch token before the slot is considered populated
shared	live_archive_validator_two_slot_calls_parallel	1	boolean	Both independently tokened topology-fill requests start concurrently under one lifecycle claim
shared	live_archive_validator_probe_ecs_list_tasks	1	boolean	Probe role receives ECS ListTasks
shared	live_archive_validator_probe_ecs_describe_tasks	1	boolean	Probe role receives ECS DescribeTasks
shared	live_archive_validator_probe_ecs_stop_task	1	boolean	Probe role receives ECS StopTask
shared	live_archive_validator_probe_ecs_run_task	1	boolean	Probe role receives ECS RunTask
shared	live_archive_validator_probe_ecs_other_actions	0	action	Probe role receives no other ECS action
shared	live_archive_validator_probe_ecs_cluster_condition	1	boolean	Every ECS statement carries the exact recovery-cluster condition where supported
shared	live_archive_validator_probe_ecs_task_family_condition	1	boolean	StopTask and RunTask are restricted to the validator task family
shared	live_archive_validator_probe_dynamodb_update_item	1	boolean	Probe role receives DynamoDB UpdateItem
shared	live_archive_validator_probe_dynamodb_other_actions	0	action	Probe role receives no other DynamoDB action
shared	live_archive_validator_probe_launch_leading_key	1	boolean	DynamoDB access is restricted to the launch-control leading-key namespace
shared	live_archive_validator_probe_pass_execution_role	1	boolean	PassRole names the validator execution role
shared	live_archive_validator_probe_pass_task_role	1	boolean	PassRole names the validator task role
shared	live_archive_validator_probe_pass_other_roles	0	role	PassRole names no additional role
shared	live_archive_validator_probe_passed_to_ecs	1	boolean	PassRole is conditioned on ecs-tasks.amazonaws.com
shared	live_archive_validator_launch_ledger_item_bytes	2048	byte	Launch control stores two slots parameters client tokens returned task ARNs and a capacity-two token bucket
shared	live_archive_validator_restart_guard	1	boolean	A service-wide capacity-two token bucket refuses launches after the reserved monthly envelope
shared	live_archive_validator_launch_control_serialized	1	boolean	The already-priced conditional guard gives one probe identity exclusive lifecycle and replay ownership
shared	live_archive_validator_launch_control_claim_seconds	5	second	The exclusive lifecycle claim outlives the four-second lifecycle phase and expires after a terminated invocation
shared	live_archive_validator_launch_bucket_capacity	2	token	Two immediately available tokens can fill the active and standby slots
shared	live_archive_validator_launch_token_refill_seconds	3600	second	The service-wide launch bucket refills at most one token per hour
shared	live_archive_validator_launch_window_end_exclusive	1	boolean	A refill exactly at hour 744 belongs only to the next non-overlapping accounting window
shared	live_archive_validator_launches_month	745	launch	Two initial bucket tokens plus 743 hourly refills strictly inside a 744-hour window
shared	live_archive_validator_control_schedule_seconds	60	second	Validator lifecycle control is attempted by every fixed one-minute probe identity
shared	live_archive_validator_topology_fill_seconds	125	second	After obsolete tasks stop the next worst-case delivered probe submits both slots within its five-second invocation
shared	live_archive_validator_restart_minimum_billing_seconds	60	second	Each launch reserves the Fargate and public-IPv4 one-minute billing minimum
shared	live_archive_validator_polls_per_second	1	request-second	Application token bucket hard ceiling for the active task
shared	live_archive_validator_receive_loop_count	2	loop	Two concurrent receive loops share the one-start-per-second application token bucket
shared	live_archive_validator_max_inter_poll_seconds	1	second	Dedicated receive loop starts the next request within one second
shared	live_archive_validator_long_poll_seconds	20	second	Configured SQS ReceiveMessage wait time
shared	live_archive_validator_receive_response_seconds	21	second	HTTP response deadline exceeds the configured long poll
shared	live_archive_validator_batch_size	10	message	Maximum FIFO ReceiveMessage batch
shared	live_archive_validator_fifo_enabled	1	boolean	Validation queue uses FIFO ordering
shared	live_archive_validator_receipt_key_components	3	component	Bucket key and version ID form the durable receipt identity
shared	live_archive_validator_receipt_identity_digest_bytes	32	byte	Receipt key is the SHA-256 digest of the length-delimited bucket key and version ID tuple
shared	live_archive_validator_receipt_identity_sha256	1	boolean	Receipt identity uses SHA-256 rather than storing unbounded raw S3 identity fields in the key
shared	live_archive_validator_signed_content_length	1	boolean	Source job signs expected body length before recovery validation
shared	live_archive_validator_pre_head_reservation	1	boolean	Attempt request KMS byte and receipt budgets are reserved before HEAD
shared	live_archive_validator_pending_takeover	1	boolean	Expired matching pending receipts advance to a fenced attempt generation
shared	live_archive_validator_final_lease_fence	1	boolean	The final receipt and checkpoint transaction checks the still-live lease generation
shared	live_archive_validator_sdk_retries	0	attempt	Validator SDK clients retry only through an explicitly reserved attempt
shared	live_archive_validator_dlq_sdk_retries	0	attempt	DLQ reconciliation retries only through the explicit receive-retry partition
shared	live_archive_validator_max_receive_count	1	attempt	An unacknowledged validation delivery is quarantined after one receive
shared	live_archive_validator_dlq_repair_before_delete	1	boolean	A DLQ copy is deleted only after its signed job is acknowledged by the validation queue
shared	live_archive_validator_dlq_send_validation_permission	1	boolean	The reconciliation role can send only to the exact validation FIFO queue
shared	live_archive_validator_fifo_dedup_seconds	300	second	SQS FIFO suppresses a repeated deduplication identity only inside its five-minute interval
shared	live_archive_validator_uncertain_send_retry_seconds	240	second	Source and redrive uncertain-send retries must complete within four minutes of the first send attempt
shared	live_archive_validator_attempt_includes_delete_ack	1	boolean	The two-second successful attempt ends only after DeleteMessage acknowledgement
shared	live_archive_validator_receipt_cleanup_enabled	1	boolean	A deterministic exact-version sweeper removes receipts after archive expiry
shared	live_archive_validator_receipt_cleanup_seconds	86400	second	Daily hard deadline from verified archive expiry to exact receipt deletion
shared	live_archive_validator_receipt_encoded_bytes	1024	byte	Maximum application-encoded receipt including attribute names and values
shared	dynamodb_base_item_storage_overhead_bytes	100	byte	Documented base per-item DynamoDB storage overhead
shared	live_archive_validator_receipt_storage_envelope_bytes	2048	byte	Priced per-receipt billing envelope including base and transaction metadata overhead
shared	live_archive_validator_max_object_bytes	8388608	byte	Maximum compressed archive object and per-retry body read
shared	live_archive_validator_send_wire_bytes	8192	byte	Complete retry-inclusive source SendMessage wire cap
shared	live_archive_validator_queued_predecessors	3	attempt	Worst target burst places three same-stream objects before the fourth
shared	live_archive_validator_receive_cycles	4	request	Worst split delivery requires one complete receive cycle per object in the target same-stream burst
shared	live_archive_validator_per_stream_min_interval_seconds	61	second	Outside an admitted burst each stream waits longer than one ordered outbox dispatch before another object
shared	live_archive_validator_same_stream_burst_objects	4	object	One target-sized same-stream burst may be admitted only from an empty stream outbox
shared	live_archive_validator_same_stream_burst_blocks_refill	1	boolean	A stream cannot refill until every object in its admitted burst is acknowledged and checkpointed
shared	live_archive_validator_attempt_seconds	2	second	Hard validation-attempt deadline
shared	live_archive_validator_source_to_complete_seconds	636	second	Four ordered send acknowledgements queue delay and four complete split-delivery receive validation and delete cycles
shared	live_archive_validator_lease_renew_seconds	10	second	Each of two tasks makes at most one conditional lease write per interval
shared	live_archive_validator_lease_seconds	30	second	Lease expiration bounds stale-leader authority
shared	live_archive_validator_heartbeat_read_seconds	60	second	Primary admission checks the recovery lease heartbeat once per minute
